link,page
https://boliviaverifica.bo/que-hacer-despues-de-ser-vacunado-contra-la-covid-19/,3
https://boliviaverifica.bo/numero-de-vacunados-en-santa-cruz-llego-al-25-del-total-de-dosis-entregadas-no-el-poblacional/,3
https://boliviaverifica.bo/farmacorp-evalua-compra-de-vacunas-pero-aun-no-fijo-precio-ni-distribucion/,3
https://boliviaverifica.bo/la-uagrm-hizo-una-feria-del-dioxido-de-cloro-pese-a-que-no-existe-evidencia-cientifica-que-respalde-su-consumo/,3
https://boliviaverifica.bo/no-es-verdad-que-la-usuaria-sandra-romero-reporto-reacciones-en-la-piel-tras-la-vacuna-sputnik-v/,3
https://boliviaverifica.bo/conoce-los-pasos-a-seguir-para-el-registro-municipal-de-vacunacion-contra-la-covid-19-en-santa-cruz/,3
https://boliviaverifica.bo/los-10-puntos-clave-para-conocer-el-plan-nacional-de-vacunacion-covid-19/,3
https://boliviaverifica.bo/como-hacer-el-prerregistro-para-la-vacunacion-contra-la-covid-19-en-la-paz/,3
https://boliviaverifica.bo/falso-pfizer-no-esta-vendiendo-vacunas-contra-la-covid-19-en-bolivia/,3
https://boliviaverifica.bo/si-hubo-coronacion-de-la-reina-del-carnaval-en-santa-cruz-pero-no-violo-la-cuarentena-rigida/,3
